# ----------------------------------------
# Thu nạp qua lưu lượng truy cập: Nhóm kênh chính của phiên (Nhóm kênh mặc định)
# Tài khoản: Le Viet Thanh
# Thuộc tính: tuongotcay.github.io
# ----------------------------------------
# 
# Tất cả người dùng
# Ngày bắt đầu: 20260201
# Ngày kết thúc: 20260228
Nhóm kênh chính của phiên (Nhóm kênh mặc định),Phiên hoạt động,Số phiên tương tác,Tỷ lệ tương tác,Thời gian tương tác trung bình/phiên hoạt động,Số sự kiện trên mỗi phiên hoạt động,Số lượng sự kiện,Sự kiện quan trọng,Tỷ lệ sự kiện chính trong phiên,Tổng doanh thu
Direct,55,5,0.09090909090909091,26.78181818181818,3.9454545454545453,217,0,0,0
Unassigned,21,0,0,47.42857142857143,7.333333333333333,154,0,0,0
Organic Search,15,6,0.4,11.8,5.133333333333334,77,0,0,0
Organic Social,1,0,0,0,3,3,0,0,0
